State,District,Year,Crop,Season,Area (Hectare),Production (Bales),Production (Nuts),Production (Tonnes),Yield (Bales/Hectare),Yield (Nuts/Hectare),Yield (Tonne/Hectare),Avg_Temp,Total_Rainfall,Avg_Humidity,Temp_Stress,Rain_Deviation,Yield_Class
Arunachal Pradesh,Anjaw,2015,Dry chillies,Whole Year,28.0,,,86.0,,,3.07,9.63558904109589,1467.4299999999998,80.16460273972602,15.36441095890411,-283.6700000000001,1
Arunachal Pradesh,Anjaw,2015,Ginger,Whole Year,63.0,,,297.0,,,4.71,9.63558904109589,1467.4299999999998,80.16460273972602,15.36441095890411,-283.6700000000001,0
Arunachal Pradesh,Anjaw,2015,Turmeric,Whole Year,39.0,,,156.0,,,4.0,9.63558904109589,1467.4299999999998,80.16460273972602,15.36441095890411,-283.6700000000001,0
Arunachal Pradesh,Anjaw,2016,Dry chillies,Whole Year,57.0,,,167.0,,,2.93,10.000081967213116,1697.6699999999998,81.50393442622952,14.999918032786884,-53.430000000000064,1
Arunachal Pradesh,Anjaw,2016,Ginger,Whole Year,63.0,,,317.0,,,5.03,10.000081967213116,1697.6699999999998,81.50393442622952,14.999918032786884,-53.430000000000064,0
Arunachal Pradesh,Anjaw,2016,Turmeric,Whole Year,39.0,,,129.0,,,3.31,10.000081967213116,1697.6699999999998,81.50393442622952,14.999918032786884,-53.430000000000064,0
Arunachal Pradesh,Anjaw,2017,Dry chillies,Whole Year,60.0,,,185.0,,,3.08,10.219397260273974,1860.32,80.41350684931507,14.780602739726026,109.22000000000003,1
Arunachal Pradesh,Anjaw,2017,Ginger,Whole Year,67.0,,,317.0,,,4.73,10.219397260273974,1860.32,80.41350684931507,14.780602739726026,109.22000000000003,0
Arunachal Pradesh,Anjaw,2017,Turmeric,Whole Year,40.0,,,135.0,,,3.38,10.219397260273974,1860.32,80.41350684931507,14.780602739726026,109.22000000000003,0
Arunachal Pradesh,Anjaw,2018,Dry chillies,Whole Year,60.0,,,187.0,,,3.12,9.674054794520549,1461.5300000000002,79.88331506849315,15.325945205479451,-289.5699999999997,1
Arunachal Pradesh,Anjaw,2018,Ginger,Whole Year,67.0,,,323.0,,,4.82,9.674054794520549,1461.5300000000002,79.88331506849315,15.325945205479451,-289.5699999999997,0
Arunachal Pradesh,Anjaw,2018,Turmeric,Whole Year,40.0,,,135.0,,,3.38,9.674054794520549,1461.5300000000002,79.88331506849315,15.325945205479451,-289.5699999999997,0
Arunachal Pradesh,Anjaw,2019,Dry chillies,Whole Year,60.0,,,194.0,,,3.23,9.877342465753424,1575.25,80.45153424657535,15.122657534246576,-175.8499999999999,1
Arunachal Pradesh,Anjaw,2019,Ginger,Whole Year,68.0,,,323.0,,,4.75,9.877342465753424,1575.25,80.45153424657535,15.122657534246576,-175.8499999999999,0
Arunachal Pradesh,Anjaw,2019,Turmeric,Whole Year,41.0,,,137.0,,,3.34,9.877342465753424,1575.25,80.45153424657535,15.122657534246576,-175.8499999999999,0
Arunachal Pradesh,Anjaw,2020,Dry chillies,Whole Year,60.0,,,197.0,,,3.28,9.736256830601093,2357.24,81.34420765027322,15.263743169398907,606.1399999999999,1
Arunachal Pradesh,Anjaw,2020,Ginger,Whole Year,68.0,,,328.0,,,4.82,9.736256830601093,2357.24,81.34420765027322,15.263743169398907,606.1399999999999,0
Arunachal Pradesh,Anjaw,2020,Turmeric,Whole Year,41.0,,,139.0,,,3.39,9.736256830601093,2357.24,81.34420765027322,15.263743169398907,606.1399999999999,0
Arunachal Pradesh,Anjaw,2021,Dry chillies,Whole Year,63.0,,,210.0,,,3.33,10.130383561643834,1403.0800000000002,79.12506849315068,14.869616438356166,-348.01999999999975,1
Arunachal Pradesh,Anjaw,2021,Ginger,Whole Year,69.0,,,358.0,,,5.19,10.130383561643834,1403.0800000000002,79.12506849315068,14.869616438356166,-348.01999999999975,0
Arunachal Pradesh,Anjaw,2021,Turmeric,Whole Year,48.0,,,163.0,,,3.4,10.130383561643834,1403.0800000000002,79.12506849315068,14.869616438356166,-348.01999999999975,0
Arunachal Pradesh,Anjaw,2022,Dry chillies,Whole Year,65.0,,,217.0,,,3.34,9.797424657534249,2186.28,80.19904109589041,15.202575342465751,435.1800000000003,1
Arunachal Pradesh,Anjaw,2022,Ginger,Whole Year,75.0,,,389.0,,,5.19,9.797424657534249,2186.28,80.19904109589041,15.202575342465751,435.1800000000003,0
Arunachal Pradesh,Anjaw,2022,Turmeric,Whole Year,52.0,,,176.0,,,3.38,9.797424657534249,2186.28,80.19904109589041,15.202575342465751,435.1800000000003,0
Arunachal Pradesh,Changlang,2015,Dry chillies,Whole Year,733.0,,,2489.0,,,3.4,20.965561643835617,2426.63,77.33424657534246,4.034438356164383,-133.97749999999996,1
Arunachal Pradesh,Changlang,2015,Ginger,Whole Year,572.0,,,4238.0,,,7.41,20.965561643835617,2426.63,77.33424657534246,4.034438356164383,-133.97749999999996,0
Arunachal Pradesh,Changlang,2015,Turmeric,Whole Year,102.0,,,291.0,,,2.85,20.965561643835617,2426.63,77.33424657534246,4.034438356164383,-133.97749999999996,0
Arunachal Pradesh,Changlang,2016,Dry chillies,Whole Year,762.0,,,2570.0,,,3.37,20.953032786885245,2360.41,80.65579234972678,4.046967213114755,-200.19750000000022,1
Arunachal Pradesh,Changlang,2016,Ginger,Whole Year,572.0,,,4238.0,,,7.41,20.953032786885245,2360.41,80.65579234972678,4.046967213114755,-200.19750000000022,0
Arunachal Pradesh,Changlang,2016,Turmeric,Whole Year,102.0,,,291.0,,,2.85,20.953032786885245,2360.41,80.65579234972678,4.046967213114755,-200.19750000000022,0
Arunachal Pradesh,Changlang,2017,Dry chillies,Whole Year,768.0,,,2588.0,,,3.37,21.07758904109589,2760.82,79.880301369863,3.922410958904109,200.2125000000001,1
Arunachal Pradesh,Changlang,2017,Ginger,Whole Year,576.0,,,4177.0,,,7.25,21.07758904109589,2760.82,79.880301369863,3.922410958904109,200.2125000000001,0
Arunachal Pradesh,Changlang,2017,Turmeric,Whole Year,103.0,,,309.0,,,3.0,21.07758904109589,2760.82,79.880301369863,3.922410958904109,200.2125000000001,0
Arunachal Pradesh,Changlang,2018,Dry chillies,Whole Year,768.0,,,2590.0,,,3.37,20.69509589041096,2058.73,79.16443835616438,4.304904109589039,-501.87750000000005,1
Arunachal Pradesh,Changlang,2018,Ginger,Whole Year,576.0,,,4183.0,,,7.26,20.69509589041096,2058.73,79.16443835616438,4.304904109589039,-501.87750000000005,0
Arunachal Pradesh,Changlang,2018,Turmeric,Whole Year,103.0,,,309.0,,,3.0,20.69509589041096,2058.73,79.16443835616438,4.304904109589039,-501.87750000000005,0
Arunachal Pradesh,Changlang,2019,Dry chillies,Whole Year,768.0,,,2597.0,,,3.38,20.973068493150684,2437.09,79.01032876712328,4.026931506849316,-123.51749999999993,1
Arunachal Pradesh,Changlang,2019,Ginger,Whole Year,577.0,,,4183.0,,,7.25,20.973068493150684,2437.09,79.01032876712328,4.026931506849316,-123.51749999999993,0
Arunachal Pradesh,Changlang,2019,Turmeric,Whole Year,104.0,,,313.0,,,3.01,20.973068493150684,2437.09,79.01032876712328,4.026931506849316,-123.51749999999993,0
Arunachal Pradesh,Changlang,2020,Dry chillies,Whole Year,769.0,,,2601.0,,,3.38,20.69969945355191,3270.09,80.47590163934426,4.300300546448089,709.4825000000001,1
Arunachal Pradesh,Changlang,2020,Ginger,Whole Year,577.0,,,4188.0,,,7.26,20.69969945355191,3270.09,80.47590163934426,4.300300546448089,709.4825000000001,0
Arunachal Pradesh,Changlang,2020,Turmeric,Whole Year,104.0,,,317.0,,,3.05,20.69969945355191,3270.09,80.47590163934426,4.300300546448089,709.4825000000001,0
Arunachal Pradesh,Changlang,2021,Dry chillies,Whole Year,798.0,,,2761.0,,,3.46,21.013369863013697,2104.27,78.12309589041097,3.986630136986303,-456.3375000000001,1
Arunachal Pradesh,Changlang,2021,Ginger,Whole Year,592.0,,,4332.0,,,7.32,21.013369863013697,2104.27,78.12309589041097,3.986630136986303,-456.3375000000001,0
Arunachal Pradesh,Changlang,2021,Turmeric,Whole Year,115.0,,,350.0,,,3.04,21.013369863013697,2104.27,78.12309589041097,3.986630136986303,-456.3375000000001,0
Arunachal Pradesh,Changlang,2022,Dry chillies,Whole Year,799.0,,,2767.0,,,3.46,20.542246575342467,3066.82,79.03038356164383,4.4577534246575325,506.2125000000001,1
Arunachal Pradesh,Changlang,2022,Ginger,Whole Year,606.0,,,4437.0,,,7.32,20.542246575342467,3066.82,79.03038356164383,4.4577534246575325,506.2125000000001,0
