State,District,Year,Crop,Season,Area (Hectare),Production (Bales),Production (Nuts),Production (Tonnes),Yield (Bales/Hectare),Yield (Nuts/Hectare),Yield (Tonne/Hectare),Avg_Temp,Total_Rainfall,Avg_Humidity,Temp_Stress,Rain_Deviation,Yield_Class
Andhra Pradesh,Srikakulam,2017,Sugarcane,Whole Year,5336.0,,,448802.0,,,84.11,26.884438356164384,1316.7,73.55999999999999,1.8844383561643845,-63.656666666666524,1
Andhra Pradesh,Vizianagaram,2015,Sugarcane,Whole Year,13692.0,,,884700.0,,,64.61,25.75079452054795,1603.46,74.97550684931507,0.7507945205479487,138.28666666666663,1
Andhra Pradesh,Vizianagaram,2016,Sugarcane,Whole Year,13272.0,,,886663.0,,,66.81,26.01387978142076,1426.89,72.89674863387978,1.0138797814207585,-38.2833333333333,1
Andhra Pradesh,Vizianagaram,2017,Sugarcane,Whole Year,12481.0,,,806251.0,,,64.6,25.956739726027397,1365.17,74.24454794520548,0.9567397260273971,-100.00333333333333,1
Andhra Pradesh,West godavari,2015,Sugarcane,Whole Year,14804.0,,,1370472.0,,,92.57,27.684794520547943,1184.4299999999998,75.53046575342465,2.6847945205479427,38.909999999999854,1
Andhra Pradesh,West godavari,2016,Sugarcane,Whole Year,9098.0,,,805391.0,,,88.52,27.79551912568306,1171.57,74.98606557377049,2.795519125683061,26.049999999999955,1
Andhra Pradesh,West godavari,2017,Sugarcane,Whole Year,7951.0,,,849499.0,,,106.84,27.808356164383564,1080.5600000000002,76.00890410958904,2.8083561643835644,-64.95999999999981,1
Arunachal Pradesh,Changlang,2015,Sugarcane,Whole Year,586.0,,,8109.0,,,13.84,20.965561643835617,2426.63,77.33424657534246,4.034438356164383,-133.97749999999996,0
Arunachal Pradesh,Changlang,2016,Sugarcane,Whole Year,595.0,,,8389.0,,,14.1,20.953032786885245,2360.41,80.65579234972678,4.046967213114755,-200.19750000000022,0
Arunachal Pradesh,Changlang,2017,Sugarcane,Whole Year,595.0,,,8693.0,,,14.61,21.07758904109589,2760.82,79.880301369863,3.922410958904109,200.2125000000001,0
Arunachal Pradesh,Changlang,2018,Sugarcane,Whole Year,595.0,,,8735.0,,,14.68,20.69509589041096,2058.73,79.16443835616438,4.304904109589039,-501.87750000000005,0
Arunachal Pradesh,Changlang,2019,Sugarcane,Whole Year,597.0,,,8788.0,,,14.72,20.973068493150684,2437.09,79.01032876712328,4.026931506849316,-123.51749999999993,0
Arunachal Pradesh,Changlang,2020,Sugarcane,Whole Year,597.0,,,8818.0,,,14.77,20.69969945355191,3270.09,80.47590163934426,4.300300546448089,709.4825000000001,0
Arunachal Pradesh,Changlang,2021,Sugarcane,Whole Year,597.0,,,8818.0,,,14.77,21.013369863013697,2104.27,78.12309589041097,3.986630136986303,-456.3375000000001,0
Arunachal Pradesh,Changlang,2022,Sugarcane,Whole Year,599.0,,,8848.0,,,14.77,20.542246575342467,3066.82,79.03038356164383,4.4577534246575325,506.2125000000001,0
Arunachal Pradesh,East siang,2015,Sugarcane,Whole Year,214.0,,,10000.0,,,46.73,23.830657534246573,3056.29,72.87063013698629,1.1693424657534273,-319.88125000000036,0
Arunachal Pradesh,East siang,2016,Sugarcane,Whole Year,231.0,,,10290.0,,,44.55,24.128169398907104,3157.81,73.6914480874317,0.8718306010928956,-218.36125000000038,0
Arunachal Pradesh,East siang,2017,Sugarcane,Whole Year,266.0,,,10290.0,,,38.68,24.26928767123288,3575.24,72.49479452054796,0.7307123287671189,199.06874999999945,0
Arunachal Pradesh,East siang,2018,Sugarcane,Whole Year,181.0,,,7039.0,,,38.89,23.84687671232877,2586.63,72.20024657534248,1.1531232876712316,-789.5412500000002,0
Arunachal Pradesh,East siang,2019,Sugarcane,Whole Year,182.0,,,7060.0,,,38.79,24.05312328767123,3090.26,72.34657534246575,0.9468767123287698,-285.9112500000001,0
Arunachal Pradesh,East siang,2020,Sugarcane,Whole Year,184.0,,,7070.0,,,38.42,23.764590163934425,4656.889999999999,73.29341530054644,1.2354098360655748,1280.718749999999,0
Arunachal Pradesh,East siang,2021,Sugarcane,Whole Year,184.0,,,7070.0,,,38.42,24.063123287671235,2864.4700000000003,71.66895890410959,0.9368767123287647,-511.7012500000001,0
Arunachal Pradesh,East siang,2022,Sugarcane,Whole Year,185.0,,,7109.0,,,38.43,23.615863013698632,4021.78,71.83298630136987,1.3841369863013675,645.6087499999999,0
Arunachal Pradesh,Kamle,2018,Sugarcane,Whole Year,52.0,,,1544.0,,,29.69,22.08180821917808,2441.2,79.23361643835615,2.918191780821921,-436.97400000000016,0
Arunachal Pradesh,Kamle,2019,Sugarcane,Whole Year,53.0,,,1565.0,,,29.53,22.246931506849315,2786.51,78.19405479452055,2.7530684931506855,-91.66399999999976,0
Arunachal Pradesh,Kamle,2020,Sugarcane,Whole Year,53.0,,,1575.0,,,29.72,21.956967213114755,3582.4,80.3260655737705,3.043032786885245,704.2260000000001,0
Arunachal Pradesh,Kamle,2021,Sugarcane,Whole Year,53.0,,,1575.0,,,29.72,22.26934246575342,2367.82,78.05386301369865,2.7306575342465784,-510.3539999999998,0
Arunachal Pradesh,Kamle,2022,Sugarcane,Whole Year,53.0,,,1575.0,,,29.72,21.753561643835614,3212.9400000000005,78.64827397260274,3.2464383561643864,334.76600000000053,0
Arunachal Pradesh,Kra daadi,2015,Sugarcane,Whole Year,100.0,,,976.0,,,9.76,14.742328767123286,2340.37,85.52369863013699,10.257671232876714,-118.11125000000038,0
Arunachal Pradesh,Kra daadi,2016,Sugarcane,Whole Year,109.0,,,1256.0,,,11.52,15.25049180327869,2251.73,84.4558469945355,9.74950819672131,-206.75125000000025,0
Arunachal Pradesh,Kra daadi,2017,Sugarcane,Whole Year,109.0,,,1313.0,,,12.05,15.161616438356164,2638.38,84.23317808219178,9.838383561643836,179.89874999999984,0
Arunachal Pradesh,Kra daadi,2018,Sugarcane,Whole Year,109.0,,,1363.0,,,12.5,14.686383561643837,2108.63,84.84630136986301,10.313616438356163,-349.85125000000016,0
Arunachal Pradesh,Kra daadi,2019,Sugarcane,Whole Year,110.0,,,1384.0,,,12.58,14.753780821917806,2344.3500000000004,83.79698630136987,10.246219178082194,-114.13124999999991,0
Arunachal Pradesh,Kra daadi,2020,Sugarcane,Whole Year,110.0,,,1394.0,,,12.67,14.696939890710382,3083.7000000000003,85.00969945355192,10.303060109289618,625.21875,0
Arunachal Pradesh,Kra daadi,2021,Sugarcane,Whole Year,110.0,,,1394.0,,,12.67,14.81249315068493,2172.37,84.18523287671233,10.18750684931507,-286.1112500000004,0
Arunachal Pradesh,Kra daadi,2022,Sugarcane,Whole Year,110.0,,,1395.0,,,12.68,14.592493150684932,2728.32,83.44564383561645,10.407506849315068,269.8387499999999,0
Arunachal Pradesh,Kurung kumey,2015,Sugarcane,Whole Year,60.0,,,542.0,,,9.03,9.107123287671232,1357.09,86.43983561643836,15.892876712328768,-92.18374999999992,0
Arunachal Pradesh,Kurung kumey,2016,Sugarcane,Whole Year,69.0,,,822.0,,,11.91,9.522103825136613,1338.38,84.70655737704918,15.477896174863387,-110.89374999999973,0
Arunachal Pradesh,Kurung kumey,2017,Sugarcane,Whole Year,69.0,,,879.0,,,12.74,9.403917808219177,1552.9899999999998,84.7433698630137,15.596082191780823,103.71624999999995,0
Arunachal Pradesh,Kurung kumey,2018,Sugarcane,Whole Year,69.0,,,921.0,,,13.35,8.935452054794522,1282.59,84.86104109589041,16.064547945205476,-166.68374999999992,0
Arunachal Pradesh,Kurung kumey,2019,Sugarcane,Whole Year,70.0,,,942.0,,,13.46,8.914657534246576,1433.9,84.2273698630137,16.085342465753424,-15.373749999999745,0
Arunachal Pradesh,Kurung kumey,2020,Sugarcane,Whole Year,70.0,,,942.0,,,13.46,8.931612021857923,1716.37,85.60674863387977,16.068387978142077,267.09625000000005,0
Arunachal Pradesh,Kurung kumey,2021,Sugarcane,Whole Year,70.0,,,942.0,,,13.46,9.140931506849316,1328.2199999999998,84.79487671232876,15.859068493150684,-121.05375000000004,0
Arunachal Pradesh,Kurung kumey,2022,Sugarcane,Whole Year,70.0,,,942.0,,,13.46,8.942383561643837,1584.65,84.79912328767124,16.057616438356163,135.37625000000025,0
Arunachal Pradesh,Lohit,2015,Sugarcane,Whole Year,21.0,,,450.0,,,21.43,17.85386301369863,2658.6000000000004,75.26682191780822,7.1461369863013715,-327.3512499999997,0
Arunachal Pradesh,Lohit,2016,Sugarcane,Whole Year,30.0,,,730.0,,,24.33,18.01814207650273,2798.4700000000003,77.74614754098361,6.9818579234972695,-187.48124999999982,0
Arunachal Pradesh,Lohit,2017,Sugarcane,Whole Year,30.0,,,730.0,,,24.33,18.246684931506845,3160.2,75.87901369863013,6.753315068493155,174.24874999999975,0
Arunachal Pradesh,Lohit,2018,Sugarcane,Whole Year,30.0,,,772.0,,,25.73,17.69931506849315,2301.61,75.4563287671233,7.300684931506851,-684.34125,0
Arunachal Pradesh,Lohit,2019,Sugarcane,Whole Year,31.0,,,793.0,,,25.58,17.91550684931507,2713.73,75.7194794520548,7.084493150684931,-272.22125000000005,0
Arunachal Pradesh,Lohit,2020,Sugarcane,Whole Year,31.0,,,793.0,,,25.58,17.64382513661202,4170.78,76.49912568306011,7.356174863387981,1184.8287499999997,0
Arunachal Pradesh,Lohit,2021,Sugarcane,Whole Year,31.0,,,793.0,,,25.58,17.976547945205482,2508.28,74.8127397260274,7.023452054794518,-477.6712499999999,0
Arunachal Pradesh,Lohit,2022,Sugarcane,Whole Year,32.0,,,819.0,,,25.59,17.556246575342467,3575.94,75.48284931506849,7.443753424657533,589.98875,0
Arunachal Pradesh,Lower dibang valley,2015,Sugarcane,Whole Year,125.0,,,2147.0,,,17.18,23.830657534246573,3056.29,72.87063013698629,1.1693424657534273,-319.88125000000036,0
Arunachal Pradesh,Lower dibang valley,2016,Sugarcane,Whole Year,134.0,,,2427.0,,,18.11,24.128169398907104,3157.81,73.6914480874317,0.8718306010928956,-218.36125000000038,0
Arunachal Pradesh,Lower dibang valley,2017,Sugarcane,Whole Year,134.0,,,2534.0,,,18.91,24.26928767123288,3575.24,72.49479452054796,0.7307123287671189,199.06874999999945,0
Arunachal Pradesh,Lower dibang valley,2018,Sugarcane,Whole Year,134.0,,,2576.0,,,19.22,23.84687671232877,2586.63,72.20024657534248,1.1531232876712316,-789.5412500000002,0
Arunachal Pradesh,Lower dibang valley,2019,Sugarcane,Whole Year,135.0,,,2597.0,,,19.24,24.05312328767123,3090.26,72.34657534246575,0.9468767123287698,-285.9112500000001,0
Arunachal Pradesh,Lower dibang valley,2020,Sugarcane,Whole Year,135.0,,,2607.0,,,19.31,23.764590163934425,4656.889999999999,73.29341530054644,1.2354098360655748,1280.718749999999,0
Arunachal Pradesh,Lower dibang valley,2021,Sugarcane,Whole Year,135.0,,,2607.0,,,19.31,24.063123287671235,2864.4700000000003,71.66895890410959,0.9368767123287647,-511.7012500000001,0
Arunachal Pradesh,Lower dibang valley,2022,Sugarcane,Whole Year,137.0,,,2646.0,,,19.31,23.615863013698632,4021.78,71.83298630136987,1.3841369863013675,645.6087499999999,0
Arunachal Pradesh,Lower siang,2018,Sugarcane,Whole Year,144.0,,,5240.0,,,36.39,18.061671232876712,2489.94,82.64709589041095,6.938328767123288,-581.9740000000002,0
Arunachal Pradesh,Lower siang,2019,Sugarcane,Whole Year,130.0,,,4735.0,,,36.42,18.19728767123288,2849.56,81.7761095890411,6.802712328767122,-222.35400000000027,0
Arunachal Pradesh,Lower siang,2020,Sugarcane,Whole Year,130.0,,,4745.0,,,36.5,18.00448087431694,3939.33,83.39633879781421,6.99551912568306,867.4159999999997,0
Arunachal Pradesh,Lower siang,2021,Sugarcane,Whole Year,130.0,,,4745.0,,,36.5,18.218356164383565,2606.15,81.85745205479452,6.7816438356164355,-465.7640000000001,0
Arunachal Pradesh,Lower siang,2022,Sugarcane,Whole Year,131.0,,,4782.0,,,36.5,17.864684931506847,3474.59,81.50219178082192,7.135315068493153,402.67599999999993,0
Arunachal Pradesh,Lower subansiri,2015,Sugarcane,Whole Year,115.0,,,3262.0,,,28.37,18.01849315068493,2654.79,84.13446575342465,6.981506849315071,-90.80124999999998,0
Arunachal Pradesh,Lower subansiri,2016,Sugarcane,Whole Year,124.0,,,3542.0,,,28.56,18.436994535519126,2495.58,83.64379781420764,6.563005464480874,-250.01125000000002,0
Arunachal Pradesh,Lower subansiri,2017,Sugarcane,Whole Year,124.0,,,3542.0,,,28.56,18.31304109589041,3014.39,83.21720547945205,6.686958904109591,268.7987499999999,0
Arunachal Pradesh,Lower subansiri,2018,Sugarcane,Whole Year,83.0,,,2415.0,,,29.1,17.824931506849317,2420.32,83.82989041095891,7.1750684931506825,-325.2712499999998,0
Arunachal Pradesh,Lower subansiri,2019,Sugarcane,Whole Year,84.0,,,2436.0,,,29.0,17.88668493150685,2677.9700000000003,82.69871232876712,7.113315068493151,-67.62124999999969,0
Arunachal Pradesh,Lower subansiri,2020,Sugarcane,Whole Year,84.0,,,2446.0,,,29.12,17.805437158469946,3384.4,84.09300546448088,7.194562841530054,638.8087500000001,0
Arunachal Pradesh,Lower subansiri,2021,Sugarcane,Whole Year,84.0,,,2446.0,,,29.12,17.939013698630138,2342.92,82.78298630136986,7.060986301369862,-402.6712499999999,0
Arunachal Pradesh,Lower subansiri,2022,Sugarcane,Whole Year,84.0,,,2447.0,,,29.13,17.61249315068493,2974.36,83.0628493150685,7.38750684931507,228.76875000000018,0
